iter	Passed	Remaining
0	1	121
1	2	113
2	3	106
3	4	97
4	5	95
5	6	98
6	7	96
7	8	95
8	9	95
9	10	95
10	11	95
11	12	94
12	14	93
13	15	92
14	16	91
15	17	90
16	18	89
17	19	89
18	21	93
19	23	93
20	24	91
21	25	90
22	26	88
23	27	87
24	28	86
25	30	85
26	31	84
27	32	83
28	33	83
29	35	82
30	36	81
31	37	80
32	39	79
33	40	77
34	41	77
35	42	76
36	44	75
37	45	73
38	46	72
39	47	71
40	48	70
41	49	68
42	50	66
43	51	65
44	52	64
45	53	62
46	54	61
47	55	60
48	56	58
49	57	57
50	59	56
51	60	55
52	61	54
53	62	52
54	62	51
55	63	50
56	64	48
57	65	47
58	66	46
59	67	45
60	68	43
61	69	42
62	70	41
63	71	40
64	72	39
65	75	39
66	77	38
67	78	36
68	79	35
69	80	34
70	82	33
71	83	32
72	84	31
73	85	30
74	86	28
75	87	27
76	89	26
77	90	25
78	91	24
79	107	26
80	121	28
81	134	29
82	136	27
83	136	27
84	137	24
85	139	22
86	141	21
87	142	19
88	143	17
89	145	16
90	146	14
91	147	12
92	148	11
93	149	9
94	150	7
95	151	6
96	152	4
97	153	3
98	154	1
99	155	0
